289,22,22,67.38936365036493,1
285,21,45,15.961856934489154,2
280,19,47,33.400473576875875,2
273,18,47,54.82746514468359,1
274,18,52,96.95132578377057,2
286,21,52,81.92605570283008,2
291,22,54,32.63518100496239,3
293,23,57,27.24475099639888,4
294,23,59,16.727875190650188,1
295,23,60,70.44393537956181,1
299,24,64,88.35227012226798,2
275,18,64,56.10844921805611,1
267,17,66,64.23649718347563,3
256,13,58,14.268555306286196,3
244,9,58,53.00362696449281,4
229,6,59,34.49412258695471,2
224,5,60,71.28165788678015,1
230,6,62,46.44646280782512,1
239,8,63,30.47337003931758,2
245,9,62,85.6801331635919,2
209,1,64,57.081084096289345,2
206,0,67,99.6618509148365,2
282,20,57,29.97479869226148,4
298,24,49,61.76612367935874,3
